;All Styles;Completionist;Developer;EU;Genre;JP;Main + Extras;Main Story;NA;Name;Platforms;Publisher;id
0;3½ Hours ;-- ;NAN;NAN;   Puzzle ;NAN;-- ;3½ Hours ;October 27, 2008 ; Bejeweled Twist ;   Nintendo DS, PC ;   PopCap Games ;1002.0
1;10 Hours ;-- ;   Rostok Games ;NAN;   Role-Playing ;NAN;10 Hours ;-- ;NAN; Beltion: Beyond Ritual ;   PC ;   Noviy Disk ;1003.0
2;2½ Hours ;3 Hours ;   Zombie Cow Studios ;June 22, 2009 ;NAN;NAN;3 Hours ;2½ Hours ;June 22, 2009 ; Ben There, Dan That! ;   PC ;   Zombie Cow Studios ;1004.0
3;6 Hours ;7½ Hours ;   Revolution Software ;NAN;   Adventure ;NAN;6½ Hours ;6 Hours ;March 1994 ; Beneath a Steel Sky ;   Amiga, Mobile, PC ;   Virgin Interactive ;1005.0
4;11 Hours ;14 Hours ;   Ubisoft ;November 16, 2007 ;NAN;NAN;9 Hours ;8 Hours ;November 13, 2007 ; Beowulf: The Game ;   PC, PlayStation 3, Xbox 360 ;   Ubisoft ;1006.0
5;33 Mins ;-- ;   SNK ;NAN;NAN;NAN;-- ;33 Mins ; 1987 ; Bermuda Triangle (1987) ;   Arcade, Atari 2600, PlayStation Portable ;   SNK ;1007.0
6;26 Mins ;-- ;   Stern Electronics ;NAN;NAN;NAN;-- ;26 Mins ;November 12, 1980 ; Berzerk (1980) ;   Atari 2600 ;   Stern Electronics ;1008.0
7;4 Hours ;4 Hours ;   Otaboo ;NAN;   Puzzle ;NAN;-- ;-- ;March 04, 2008 ; Best of Tests DS ;   Nintendo DS ;   Conspiracy Entertainment ;1009.0
8;3½ Hours ;3½ Hours ;   Oberon Games ;NAN;NAN;NAN;-- ;3½ Hours ;September 24, 2004 ; Betrapped! ;   PC ;   Oberon Games ;1010.0
9;55 Hours ;64½ Hours ;   Dynamix ;NAN;   Role-Playing ;NAN;54 Hours ;50 Hours ;June 22, 1993 ; Betrayal at Krondor ;   PC ;   Sierra On-Line ;1011.0
10;57 Hours ;-- ;   Sierra Entertainment ;NAN;   Role-Playing ;NAN;57 Hours ;-- ;July 31, 1997 ; Betrayal in Antara ;   PC ;   Sierra Entertainment ;1012.0
11;7½ Hours ;-- ;NAN;NAN;   Action ;NAN;8½ Hours ;2 Hours ;November 18, 2003 ; Beyblade VForce: Ultimate Blader Jam ;   Game Boy Advance ;   Atari ;1013.0
12;3 Hours ;-- ;   Takara ;NAN;   Board Game ;NAN;4 Hours ;2½ Hours ;December 03, 2002 ; Beyblade: Let it Rip! ;   PlayStation ;   Crave Entertainment ;1014.0
13;5½ Hours ;6½ Hours ;   Cryo Interactive ;NAN;   Adventure ;NAN;-- ;4½ Hours ; 2001 ; Atlantis III: The New World ;   PC ;NAN;1016.0
14;31½ Hours ;54½ Hours ;   Larian ; 2004 ;   Role-Playing ;NAN;32½ Hours ;20 Hours ;April 27, 2004 ; Beyond Divinity ;   PC ;   CDV ;1017.0
15;12 Hours ;13 Hours ;   Ubisoft ;November 14, 2003 ;NAN;NAN;12 Hours ;11 Hours ;November 11, 2003 ; Beyond Good & Evil ;   Nintendo GameCube, PC, PlayStation 2, PlayStation 3, Xbox, Xbox 360 ;   Ubisoft ;1018.0
16;6½ Hours ;9 Hours ;   Ancient ;March 1995 ;NAN;December 09, 1994 ;7 Hours ;6 Hours ;March 15, 1995 ; Beyond Oasis ;   PC, PlayStation 3, Sega Mega Drive/Genesis, Wii ;   Sega ;1019.0
