;id;Name;Main Story;Main + Extras;Completionist;All Styles;Platforms;Genre;Developer;Publisher;NA;EU;JP
0;62000.0; Down in the Dumps ;10 Hours ;20 Hours ;-- ;15 Hours ;   PC ;NAN;   Haiku Studios ;   Philips Media ; 1996 ;NAN;NAN
1;62001.0; Hikari! Clover Rescue ;-- ;-- ;3 Hours ;3 Hours ;   PC ;   Visual Novel ;   Toffer Team ;   Toffer Team ;October 22, 2018 ;December 17, 2018 ;NAN
2;62002.0; Breach & Clear - Frozen Synapse Pack ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
3;62003.0; The Hero Project: Open Season ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
4;62004.0; This Is Not a Game The Game ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
5;62005.0; Overcooked 2: Surf ‘n’ Turf ;2 Hours ;3 Hours ;5 Hours ;3½ Hours ;   Nintendo Switch, PC, PlayStation 4, Xbox One ;NAN;   Team17 ;   Team17 Digital ;October 03, 2018 ;October 03, 2018 ;NAN
6;62006.0; Kim Kardashian: Hollywood ;-- ;-- ;-- ;-- ;NAN;   Simulation ;NAN;   Glu Mobile ;NAN;NAN;NAN
7;62007.0; Ant Attack ;-- ;-- ;-- ;-- ;NAN;NAN;   Sandy White ;   Quicksilva ; 1983 ;NAN;NAN
8;62008.0; Gran Trak 10 (1974) ;-- ;-- ;-- ;-- ;   Arcade ;NAN;   Atari ;   Atari ;July 24, 1974 ;NAN;NAN
9;62009.0; COMPUTER SPACE ;-- ;5 Mins ;5 Mins ;5 Mins ;   Arcade ;NAN;   Nutting Associates ;NAN;NAN;NAN;NAN
10;62011.0; FS1 FLIGHT SIMULATOR ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
11;62012.0; Wenjia ;1½ Hours ;3 Hours ;-- ;2 Hours ;   Nintendo Switch, PC ;   Platform ;   Dilemma Studio ;   Dilemma Studio ;October 17, 2018 ;NAN;NAN
12;62013.0; eSports Legend ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
13;62015.0; DOTA ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
14;62016.0; Hidden Folks - Beach Pack ;1 Hours ;-- ;1½ Hours ;1½ Hours ;   PC ;   Hidden Object ;NAN;NAN;October 24, 2018 ;October 24, 2018 ;NAN
